buyer_identifier,seller_identifier,pns_call_recording_url,mcat_id_x,mcat_name,pns_call_record_started_at,pns_call_record_ended_at,call_duration,pns_call_caller_city_id,city_name,state_name,pns_custtype_id,pns_call_modrefname,pns_call_source_modid,seller_vintage_days,pns_call_ring_duration,mcat_id_y,url,gcs_path,Signed_URL
236882381,185654254,https://openapi.airtel.in/gateway/airtel-xchange/call/recording?token=XSozh4ATtnka/cY4NT9sTtQGTgVxQXuy0EDTyEbPspMcFdLJEzIJzM55tqJy1D/HYXPszkyfRFL8EGDbcwv9PUXxhCLYon/4rFczq6E3gtmPMsdfY8uoIvrL4CirTug6,74481,Folding Travel Bag,11:31:05,11:32:09,64,70490,Surat,Gujarat,1,Folding Bags Double Pocket,ANDROID,792,8,74481,https://openapi.airtel.in/gateway/airtel-xchange/call/recording?token=XSozh4ATtnka/cY4NT9sTtQGTgVxQXuy0EDTyEbPspMcFdLJEzIJzM55tqJy1D/HYXPszkyfRFL8EGDbcwv9PUXxhCLYon/4rFczq6E3gtmPMsdfY8uoIvrL4CirTug6,gs://im-model-product/pns/cce0de84f252f85c633e3f0a64fad2dd1de266b9bb138ded70aa40c517124780.mp3,https://storage.googleapis.com/im-model-product/pns/cce0de84f252f85c633e3f0a64fad2dd1de266b9bb138ded70aa40c517124780.mp3?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=mayank-docker%40model-product.iam.gserviceaccount.com%2F20251205%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20251205T080745Z&X-Goog-Expires=604800&X-Goog-SignedHeaders=host&X-Goog-Signature=38b2013129ea34cf87b15c983185dc2cb1d5999cd01cfded7013f2a17a56c44ed8ed2581ad3998e032f6043319609ca9f6206efb57064379c1041e8fc164977f08dacae49460b422ca1878917933beaaf97d2dec587c940c064e94004ab62274f95385b5a00098979fc7ee8a5f4bb337b7feb4837db809eac48af174e4d25a0fe20b49ea68741dd55bf5ad343fd52746623c966c0306052a20199e1c047913013d27578d3cba6488cefd1f7db100273095f6a84c95b220e37345c4d224480abb4d3b2ac3093b95d9837ccf4ad48a97b6c9675f4e399ba6d7eeb80d626aa1fd9060e820578dc2a92d9d9cc227c98aeca233a278ca3b393ab213acd6a124056f03
161353040,102103977,https://openapi.airtel.in/gateway/airtel-xchange/call/recording?token=XSozh4ATtnka/cY4NT9sTtQGTgVxQXuy0EDTyEbPspOgCAMEWDZf766OA1Q9SgOBNfOeJuGcfbBznLRKMZVZ8RcVjdRDqmC5HXtRg9Yv1bmPMsdfY8uoIvrL4CirTug6,655082,Bajaj Electric Rickshaw,11:37:25,11:38:38,73,70479,Gandhinagar,Gujarat,12,Bajaj Electric Auto Rickshaw,IMOB,394,13,655082,https://openapi.airtel.in/gateway/airtel-xchange/call/recording?token=XSozh4ATtnka/cY4NT9sTtQGTgVxQXuy0EDTyEbPspOgCAMEWDZf766OA1Q9SgOBNfOeJuGcfbBznLRKMZVZ8RcVjdRDqmC5HXtRg9Yv1bmPMsdfY8uoIvrL4CirTug6,gs://im-model-product/pns/a3e634143d7cbb02fb84dd4a74a1f5e2a45b4ec01dd5f69531d5a0ee9b1fd5dd.mp3,https://storage.googleapis.com/im-model-product/pns/a3e634143d7cbb02fb84dd4a74a1f5e2a45b4ec01dd5f69531d5a0ee9b1fd5dd.mp3?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=mayank-docker%40model-product.iam.gserviceaccount.com%2F20251205%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20251205T080746Z&X-Goog-Expires=604800&X-Goog-SignedHeaders=host&X-Goog-Signature=50c07a82dcfb3b27659bd0a6e752713bcdaada40c0ac6fb571e1c0513283af69ed9eb92a710a7dcd5131226345b1a454d68aac07242005d2b713d61136bd7647ef3c9398bfff77804cc292da56b517bfb0f4008f1ed2270db30c1addb9f31ef69c2c66cd7348523d3dafdd78d60b4595b84ccbc32b0167e9516014437d33384ac21f0ac7d146a8851ef9dc5a121775dbfc985f27694513a1d0419a8f9524690998f6bdf5d56570df293c020903a942c49758244519347a9df1cfc953f046daf478fb588d06c43c3cfb81aadc339b91bc29e4bb5bb9d04598be36bbabb9b96948b64316443f1337ace1fd9b8949db6c9f07cd6c5f09b87556c63223a4a0a91025
152048916,130929911,https://openapi.airtel.in/gateway/airtel-xchange/call/recording?token=XSozh4ATtnka/cY4NT9sTtQGTgVxQXuy0EDTyEbPspPYU4y3QzPt2bYhr /2B/hFgix5l6SIhcx7d16EmVTSCGAdFWpy/n/zxxCQTUlqSfqPMsdfY8uoIvrL4CirTug6,216507,Laddu Gopal Mukut,13:01:40,13:03:25,105,70487,Rajkot,Gujarat,51,,IMOB,,17,216507,https://openapi.airtel.in/gateway/airtel-xchange/call/recording?token=XSozh4ATtnka/cY4NT9sTtQGTgVxQXuy0EDTyEbPspPYU4y3QzPt2bYhr /2B/hFgix5l6SIhcx7d16EmVTSCGAdFWpy/n/zxxCQTUlqSfqPMsdfY8uoIvrL4CirTug6,gs://im-model-product/pns/0d0017b9ff9005018a151431945970c9d1129897309566f7cc47dceb03b548e3.mp3,https://storage.googleapis.com/im-model-product/pns/0d0017b9ff9005018a151431945970c9d1129897309566f7cc47dceb03b548e3.mp3?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=mayank-docker%40model-product.iam.gserviceaccount.com%2F20251205%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20251205T080748Z&X-Goog-Expires=604800&X-Goog-SignedHeaders=host&X-Goog-Signature=323573b18dfc892520c207a29d5609440fa5d87fff65a6715931aae82daa296b9cab88eaaf7bc834b8f83a49c1cfb81ed518c459eff6f41ab789537c880719378c67c72ef080ba37aa1d03047010af96c49a39c26b3ad62908dd6cfa055cb43abcb99acaa86a3182b5967a702a83303752794a6669f5104394ba49297c93954208f3c360bd6955814ad13bcddc4fb25d7664375d029c5e1bb986ea085e15297314744fe426aaa27aeaeb8a5125c13bd4531e562217bb65300bfe95ccfbe87d443e0ec13534a47d317130208dfb1326f6a1a7921ada42cdc8ffcc1e2d3f5e4927e745b405705561c694d8d341ee553b1bbdf8421f5fb82ca2ac1a06493e17034f
46087573,39381472,https://openapi.airtel.in/gateway/airtel-xchange/call/recording?token=XSozh4ATtnka/cY4NT9sTtQGTgVxQXuy0EDTyEbPspPVI0Fc0eiTNpgFvRhb2BJh/aSC3pLFqSGqItGEiyN82sAGC2/2rSGPH9ABRxRwnqePMsdfY8uoIvrL4CirTug6,74766,MDF Panel,9:10:47,9:13:04,137,70532,Bengaluru,Karnataka,1,"FLUTED MDF PANEL, Size: 8x4",IMOB,1977,9,74766,https://openapi.airtel.in/gateway/airtel-xchange/call/recording?token=XSozh4ATtnka/cY4NT9sTtQGTgVxQXuy0EDTyEbPspPVI0Fc0eiTNpgFvRhb2BJh/aSC3pLFqSGqItGEiyN82sAGC2/2rSGPH9ABRxRwnqePMsdfY8uoIvrL4CirTug6,gs://im-model-product/pns/ead2e5a446667835f53e21b82a7464d9f988d45377f747f7a37e9465a1cbe6bd.mp3,https://storage.googleapis.com/im-model-product/pns/ead2e5a446667835f53e21b82a7464d9f988d45377f747f7a37e9465a1cbe6bd.mp3?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=mayank-docker%40model-product.iam.gserviceaccount.com%2F20251205%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20251205T080749Z&X-Goog-Expires=604800&X-Goog-SignedHeaders=host&X-Goog-Signature=8cb55cafaadabc4b36eac573a532fe00eea797007c32e34d5f7ac92ad695ea1b4a67125ae80a8bb6ec8c50d0eeb8f88ca78645410831ccfc5d306dade3f672ec3383ee14c3806259c6d8f3290fdb26771494078ad87b25c79ad5de5f9278a20a865bf065c09df843b82e46f9ca9c30d2524028c5e358364b92b18295070b855e20cc09adf949a2c6c77c1964016b090219967471b5390c1cb1e9ec3e39d201e3d621e7e7a09d8f930b8c108272fde4f12a77ebf771322e5b6391f092c662a9a43ff4adb65b6ce310fc9218306d68c9cf129915c69c762c044ea226df983f03cc30a1cd7703284ee4480e4df3ddc10a48d19440d71e909bf33ac856c77a57e8ad
13279365,7159477,https://openapi.airtel.in/gateway/airtel-xchange/call/recording?token=XSozh4ATtnka/cY4NT9sTtQGTgVxQXuy0EDTyEbPspP/PhZuDLuUqrzNL8Gmx9JtGhhcVSeeInIqZXkdOony/g2jm/T4iThwwpphgn/srWWPMsdfY8uoIvrL4CirTug6,96118,Crystal Photo Frame,14:08:01,14:09:27,85,70529,Dhanbad,Jharkhand,1,"Crystal Photo Frame, For Decoration, Size: 180 X 120 X 30 Mm",ANDROID,1580,12,96118,https://openapi.airtel.in/gateway/airtel-xchange/call/recording?token=XSozh4ATtnka/cY4NT9sTtQGTgVxQXuy0EDTyEbPspP/PhZuDLuUqrzNL8Gmx9JtGhhcVSeeInIqZXkdOony/g2jm/T4iThwwpphgn/srWWPMsdfY8uoIvrL4CirTug6,gs://im-model-product/pns/6eaffebd98549cde022894a749951e1d0d2cc42dde1dfe4ef3b22f1b932f1709.mp3,https://storage.googleapis.com/im-model-product/pns/6eaffebd98549cde022894a749951e1d0d2cc42dde1dfe4ef3b22f1b932f1709.mp3?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=mayank-docker%40model-product.iam.gserviceaccount.com%2F20251205%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20251205T080750Z&X-Goog-Expires=604800&X-Goog-SignedHeaders=host&X-Goog-Signature=2623b4eb198f37e740ed86dc160c8affa126fa27e87c30a67f3a350d41a262f3c8b8538bef59b2905e00aaad78dd579b3518d8c780897a2685c42dd09f3a3edf49696922bcf0a78b9f2cc391ec161207cf38a1ee7193cccedabff6b73346f7bdd4a32959b25ae5aeaedb29429d028c0eaad89b493bf25fc5546f784b36c114214154de66550d9c0a56999b1755f4d431c20e4d55b360a5b798de498096aed752c44b6b78e9f89eee099a41145ad32a897a90e3a8279121fdeacfda5ceec52f21d4e2b8771d82701ba62b8937fedefe654a9eed4b2f6ffef0b5b55daf9327bc57925a5f5c9705d4427594505032809a9b9829e6b1700199a02a2a89991b55aded
32390712,17297278,https://openapi.airtel.in/gateway/airtel-xchange/call/recording?token=XSozh4ATtnka/cY4NT9sTtQGTgVxQXuy0EDTyEbPspMx2jdoinLwFbnTYBilnqRs0kjTdejnxTlmhuzzgmS0kGOyh mcZUV04Np1JDAQSRaPMsdfY8uoIvrL4CirTug6,4208,Bakery Ingredients,13:53:12,13:56:51,218,70472,Ahmedabad,Gujarat,1,,DIR,744,8,4208,https://openapi.airtel.in/gateway/airtel-xchange/call/recording?token=XSozh4ATtnka/cY4NT9sTtQGTgVxQXuy0EDTyEbPspMx2jdoinLwFbnTYBilnqRs0kjTdejnxTlmhuzzgmS0kGOyh mcZUV04Np1JDAQSRaPMsdfY8uoIvrL4CirTug6,gs://im-model-product/pns/3a31cc9672d3b18a4c69bbd793a9b41fa798ae8b5210162bf0712c4113cda456.mp3,https://storage.googleapis.com/im-model-product/pns/3a31cc9672d3b18a4c69bbd793a9b41fa798ae8b5210162bf0712c4113cda456.mp3?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=mayank-docker%40model-product.iam.gserviceaccount.com%2F20251205%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20251205T080751Z&X-Goog-Expires=604800&X-Goog-SignedHeaders=host&X-Goog-Signature=27d08886ce9eda0418fb7564ba87a5706725bdb5f657a95c74632f46b411b1847ec41a67334ec923ed84c0eb8bb09c0d76688a359e4861facd65cdc4bdddc312cc713765e2053b76dc6a556b6d03553734a5f3eea982d84413caff8e1bd1f8f69bb1593026cbf01a48595f2c2c7839d6ca96560dfe4f33379f56e2d8fe8f8188aa626ad010ef770f604638a5bd1fdbac7acf01766fecd12bd3982b2058df5a52aa52372ef7e965609ba8758aef05e69800b87013b31b0ce4dcf0b25311a63fd0e81b3c840e6c209d2231f986b1fe703af310efae2a0b34cb4336b60fd248154b12a786da386d1174d670d3c8dd3c326250d6de6da88cfcd60e4bba3cdf622bef
24028768,91737092,https://openapi.airtel.in/gateway/airtel-xchange/call/recording?token=XSozh4ATtnka/cY4NT9sTtQGTgVxQXuy0EDTyEbPspOJeumNBEV36yyCD6QFo8Aewe 14NzhhxeYEdWjDEhM/GFDU8BCpdUmDYAwUiNh F6PMsdfY8uoIvrL4CirTug6,140835,Wheat Cleaning Machine,11:31:28,11:33:13,104,70480,Jamnagar,Gujarat,1,"Automatic Powder Coated Wheat Cleaning Machine farmar use, Single Phase",ANDROID,2027,8,140835,https://openapi.airtel.in/gateway/airtel-xchange/call/recording?token=XSozh4ATtnka/cY4NT9sTtQGTgVxQXuy0EDTyEbPspOJeumNBEV36yyCD6QFo8Aewe 14NzhhxeYEdWjDEhM/GFDU8BCpdUmDYAwUiNh F6PMsdfY8uoIvrL4CirTug6,gs://im-model-product/pns/0d8b44731c1a7a2afb2f9773d4e76cc762c606cf72dcec698a74530641f5680b.mp3,https://storage.googleapis.com/im-model-product/pns/0d8b44731c1a7a2afb2f9773d4e76cc762c606cf72dcec698a74530641f5680b.mp3?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=mayank-docker%40model-product.iam.gserviceaccount.com%2F20251205%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20251205T080752Z&X-Goog-Expires=604800&X-Goog-SignedHeaders=host&X-Goog-Signature=7080a10de9a6a41431645a7651ce5d6f3dae7e2fda52b9827237cfe2ff5e4c4d6d2dac71e890ef3685b20cf2df2e1c93747b1fc93753e20be4e109da954cc66beae975c8ab96e4f8dff2cd1f23381b183c97fc5cf5dfeac037a1bab70b8d4f470b80ad38df0d1c3b46e5f3f2742579a970d11dc0c8ebc2ecaa5b59e3462e7a6011be3611192b3d6eb385cafa4dcda42b0b925f7228dd0ec0c3c64a725c7ab87289263ed914362b42ccf4f14206e7f8096d3d16b0e29595b12a22b3a227a2cef1125509f39c322c01b35a5298c3cf783a734a8d698d1f88ee4d50c95c8d6137afbacfe878274eff14872487a1da257ef80f88c0494b54534a5a0cd14479cec4a0
103168580,143423375,https://openapi.airtel.in/gateway/airtel-xchange/call/recording?token=XSozh4ATtnka/cY4NT9sTtQGTgVxQXuy0EDTyEbPspOK6boL7XOohtPvR aLI0eFbg/6XjJEdGnnIffKFPMquA3SSWnydkC9yorDZ5qlxL PMsdfY8uoIvrL4CirTug6,191675,Pichwai Painting,14:33:35,14:34:46,70,70472,Ahmedabad,Gujarat,1,"Pichwai jar, For 4x4"", Size: 4""",IMOB,1140,14,191675,https://openapi.airtel.in/gateway/airtel-xchange/call/recording?token=XSozh4ATtnka/cY4NT9sTtQGTgVxQXuy0EDTyEbPspOK6boL7XOohtPvR aLI0eFbg/6XjJEdGnnIffKFPMquA3SSWnydkC9yorDZ5qlxL PMsdfY8uoIvrL4CirTug6,gs://im-model-product/pns/4845b633c32ec313676f5ea53237a2e54550d5317585b10fd421a5fb6e44db03.mp3,https://storage.googleapis.com/im-model-product/pns/4845b633c32ec313676f5ea53237a2e54550d5317585b10fd421a5fb6e44db03.mp3?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=mayank-docker%40model-product.iam.gserviceaccount.com%2F20251205%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20251205T080753Z&X-Goog-Expires=604800&X-Goog-SignedHeaders=host&X-Goog-Signature=10979a724c012c575d5308336844eaf47517e6de2b334c3e48f6d310a0dfd3ae333eae41675d404b7ff347c9f8d5ce475072c611bdd09623ceedae476a4963daf416effe4170eb724111c70a0ccabd9d0f947d792718b2bb99824f28468812a13f13ca78c3f4ada9ee12b3ca48bbe8277da35583e969e3ed177d6277387b9f978a31c76897d2c3c21b0416736c77404a5dfd0062605d4d2fe942489aa694fae527680acc8c1d0d547379f8a74e97f35bcb52a7d83baa33c514c42bbd0b509d115633d44c8e41668263a91636783bfb8c322b6b731a7d1349b9b18326de0ecac6fb243ddacc860b3cdbbe2aa7739afa9f23cd05620cec955fbec621d5a9ee99f7
248970773,6922252,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=XSozh4ATtnka/cY4NT9sTtQGTgVxQXuy0EDTyEbPspNQ09OUGAyHgz2rqlOvKXdc0RFhgKhscp7gjLzsNjeiHcXQQGw6jXNXINZILlzjD36PMsdfY8uoIvrL4CirTug6,167729,PVC Cover Block,15:32:43,15:34:40,116,,,,51,"White PVC Round Block, Size: 4-5 Inch",IMOB,,13,167729,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=XSozh4ATtnka/cY4NT9sTtQGTgVxQXuy0EDTyEbPspNQ09OUGAyHgz2rqlOvKXdc0RFhgKhscp7gjLzsNjeiHcXQQGw6jXNXINZILlzjD36PMsdfY8uoIvrL4CirTug6,gs://im-model-product/pns/71b933a80bc5f310d3459d1e4ef6315aa9d7fa14a26b9eea57d2d29258f7c647.mp3,https://storage.googleapis.com/im-model-product/pns/71b933a80bc5f310d3459d1e4ef6315aa9d7fa14a26b9eea57d2d29258f7c647.mp3?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=mayank-docker%40model-product.iam.gserviceaccount.com%2F20251205%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20251205T080754Z&X-Goog-Expires=604800&X-Goog-SignedHeaders=host&X-Goog-Signature=3ef3d4e7f3f532d6ef7bf2817e9c901093e1265d83c6292787b909d73abe0ffdb29753fd8da1c79b2a254c35c7882db154b0c837f49a07c2cf35b03933c9a579c6a1bafe6da58c49f15d8d2b6c8f4f0bd04f079c922de8ca2208294968e4201323300b1e9b54384fcdd0f5fb167e1a7cb072fcf9fd57f7a775e766a539b265eabf3d806819f6c6d0549575c28ea30064e4fa7bf8cc5e1a5efd39f7b8aee3d21a350232ef3129cf6a5941bf2e2de868824cbdfebceac11f50b271ed21a5305a1304a25bacdedb6313d114ebb1ae8561c4aea8c3a2b41fc3d9d00ec4e428be21cc95dfb29207bc063c1dea40f25f754575f35b0da96a56b0ae69d65b4b5f76d4e0
233413709,30122739,https://openapi.airtel.in/gateway/airtel-xchange/call/recording?token=XSozh4ATtnka/cY4NT9sTtQGTgVxQXuy0EDTyEbPspOMO0a7qzK09LtvB/2ukZcDCvfq3TLhthMPRTQlf0xxsWqTmrj T7b7cP/SFo1vtTOPMsdfY8uoIvrL4CirTug6,442418,Kansa Wand,21:17:47,21:24:35,407,70620,Kolhapur,Maharashtra,42,Kansa Wand Massager,IMOB,,10,442418,https://openapi.airtel.in/gateway/airtel-xchange/call/recording?token=XSozh4ATtnka/cY4NT9sTtQGTgVxQXuy0EDTyEbPspOMO0a7qzK09LtvB/2ukZcDCvfq3TLhthMPRTQlf0xxsWqTmrj T7b7cP/SFo1vtTOPMsdfY8uoIvrL4CirTug6,gs://im-model-product/pns/04c1579777d308abbf44a73df2c76f2db1e49011ab6cd5736a11e2d5b3046a35.mp3,https://storage.googleapis.com/im-model-product/pns/04c1579777d308abbf44a73df2c76f2db1e49011ab6cd5736a11e2d5b3046a35.mp3?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=mayank-docker%40model-product.iam.gserviceaccount.com%2F20251205%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20251205T080756Z&X-Goog-Expires=604800&X-Goog-SignedHeaders=host&X-Goog-Signature=6b8a95beee85d03c2e6953ea7beef21db970c9dbfea781c9ad2da33abcaf28944ed145a3d6ecffff5a3d3932b20e8df7da08618828840bfc9b515f6489715da23c62a1770f5d42d90f5c21a041c8bfa03f42d89d7520419c804df49d7374a0ef4acb8b126607998b707c17a4c1002f7ba0ce9ab258f38e76abb63991ef19efce0efc51a1fd82bd1be8a4855235dfbea47a53b8d455d9597eabe6744c95c977042c3684ea228e9c452d0dcea28b15f90504cf522967982d9451f21ce85f5b14cef3de0c7bfa697620e9c8d47d84f8fc5bb27faa022b24da858839f3ebd6cfeded7e7da4f20eaa2bd9e1a6d8aba7276418ab9796cc781bfb8452fd61ac47302724
